file,line,context,classification,production_code,allowed,justification,replacement,status
reports\generate_hito_5_4a_reports.py,22,"'| Atmospheric pressure (psia) | 14.7 |',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,25,"'| Source boundary absolute pressure (psia) | 14.7 |',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,34,"res = required_boundary_pressure_head(val, ref, 14.7, SG)",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,71,"res = required_boundary_pressure_head(79.77, ref, 14.7, SG)",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,79,"'- **ABSOLUTE**: difference = 79.77 - 14.7 = 65.07 psi, head = 150.92 ft',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,99,"'| atmospheric_pressure_psia | 14.7 (sea level) |',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,102,"'| computed_source_abs_psia | 14.7 |',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,122,"'`source_abs = 14.7 + 0.0 = 14.7 psia`',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_reports.py,149,"'   - D (ABSOLUTE): now calculable using source boundary (14.7 psia)',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_updates.py,57,f'3. **D (Absolute)**: Now calculable with source boundary (14.7 psia). Differen,TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_updates.py,119,"'3. VALIDATED_U40_AS_ABSOLUTE now calculable with source boundary (14.7 psia)',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_updates.py,189,"'- Atmospheric pressure: 14.7 psia',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_updates.py,191,"'- Computed source_abs: 14.7 psia',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_updates.py,201,"'- Source: 14.7 psia',",TEST_FIXTURE,no,yes,,,OK
reports\generate_hito_5_4a_updates.py,261,'- D (ABSOLUTE): uses source_boundary_absolute_pressure_psia = 14.7 (computed fr,TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\input_loader.py,76,atmospheric_pressure_psi: float = 14.7,TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\input_loader.py,129,"atmospheric_pressure_psi=14.7,",TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\legacy_calculator.py,110,"C8=14.7, E8=0, E11=0.995, C9=1.64, C11=0.0168, C14=0.0261, E9=1.8457",TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\legacy_calculator.py,111,npsha_ft = ((14.7 + 0.0) * 2.31 / 0.995) + 1.6404 - 0.0168 - 0.0261 - 1.8457,TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\npsh.py,170,"p_atm_abs_psi=14.7,",TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\npsh.py,189,"p_atm_psi=14.7,",TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\npsh.py,206,"""pressure_term"": (14.7 + 0.0) * 2.31 / 0.995,",TEST_FIXTURE,no,yes,,,OK
reports\archive\pre_hito_5_2a\validated_calculator.py,142,"p_atm_abs_psi=14.7,",TEST_FIXTURE,no,yes,,,OK
scripts\analyze_hydraulic_equations.py,17,"14.7: ""Standard atmospheric pressure (psi)"",",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\classify_cells.py,159,"if val in [14.7, 2.31, 3960, 0.7456, 5252, 1700, 50.6, 2.3071, 32.4, 448.8309, 3",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\create_corrections_report.py,41,"""previous_evidence"": ""C8=14.7 psia, E8=0 psig; formula (C8+E8)*2.31/SG"",",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\create_corrections_report.py,42,"""new_derivation"": ""Standard NPSH: P_abs = Patm_abs + Pvessel_gauge. For open tan",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\generate_preliminary_findings.py,36,"""evidence"": ""Formula: =((C8+E8)*(2.31/E11))+C9-C11-C14-E9. C8=14.7 psia (atmosph",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\generate_preliminary_findings.py,37,"""possible_impact"": ""NPSHa calculation may be wrong. If E8 is gauge, should not a",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\sensitivity_analysis.py,21,"'atm_psi': [13.0, 14.0, 14.7, 15.5, 16.0],",DOCUMENTATION_EXAMPLE,no,yes,,,OK
scripts\update_preliminary_findings.py,40,"""evidence"": ""E14 = ((C8+E8)*(2.31/E11)) + C9 - C11 - C14 - E9. C8=14.7 psia, E8=",DOCUMENTATION_EXAMPLE,no,yes,,,OK
tests\integration\test_integrity.py,112,"""""""Surface pressure head should be ~34 ft for water at 14.7 psi.""""""",TEST_FIXTURE,no,yes,,,OK
tests\unit\test_hito_5_4.py,80,"balances = build_semantic_tdh_balances(sg=SG, source_atmospheric_pressure_psia=1",TEST_FIXTURE,no,yes,,,OK
tests\unit\test_hito_5_4.py,116,"balances = build_semantic_tdh_balances(sg=SG, source_atmospheric_pressure_psia=1",TEST_FIXTURE,no,yes,,,OK
tests\unit\test_hito_5_4.py,148,"""""""Absolute pressure scenario is calculable using source boundary (14.7 psia).""""",TEST_FIXTURE,no,yes,,,OK
tests\unit\test_hito_5_4.py,149,"balances = build_semantic_tdh_balances(sg=SG, source_atmospheric_pressure_psia=1",TEST_FIXTURE,no,yes,,,OK
tests\unit\test_hito_5_4.py,155,"self.assertAlmostEqual(d[""source_boundary_absolute_pressure_psia""], 14.7, places",TEST_FIXTURE,no,yes,,,OK
